Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0724-EX1,Transfer from TEAM Englewood Community Academy High School to Arts,Returning funds to granting unit,49161 TEAM Englewood Community Academy High School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
2,19-0724-EX1,Transfer from Woodlawn Community Elementary School to Arts,Returning funds to granting unit,23631 Woodlawn Community Elementary School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
3,19-0724-EX1,Transfer from Hope College Preparatory High School to Arts,Returning funds to granting unit,49091 Hope College Preparatory High School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
4,19-0724-EX1,Transfer from Edgar Allan Poe Elementary Classical School to Arts,Returning funds to granting unit,29261 Edgar Allan Poe Elementary Classical School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
5,19-0724-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Conference Fees,14050 Office of Student Health & Wellness,115 General Education Fund,54215 Car Fare,213011 000000,,14050 Office of Student Health & Wellness,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",213011 Health Services,000000 Default Value,"$1,000","Health Services
Default Value"
6,19-0724-EX1,Transfer from Social and Emotional Learning - City Wide to Social and Emotional Learning - City Wide,Supplies needed for OSEL programs,10898 Social and Emotional Learning - City Wide,115 General Education Fund,54205 Travel Expense,211012 Social And Emotional Learning Supports,000000 Default Value,10898 Social and Emotional Learning - City Wide,115 General Education Fund,53405 Commodities - Supplies,211012 Social And Emotional Learning Supports,000000 Default Value,"$1,000",
7,19-0724-EX1,Transfer from Family & Community Engagement Office to Family & Community Engagement Office,Professional Services.,14060 Family & Community Engagement Office,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,300008 Community/Parent Involvement,320520 Innovative Bridge & Transition Program,14060 Family & Community Engagement Office,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,300008 Community/Parent Involvement,320520 Innovative Bridge & Transition Program,"$1,000",
8,19-0724-EX1,Transfer from Network 15 to Richard T Crane Medical Preparatory HS,funding incentive,02651 Network 15,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,46641 Richard T Crane Medical Preparatory HS,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000901 Other Gen Ed Funded Programs,"$1,000",
9,19-0724-EX1,Transfer from Grant Funded Programs Office - City Wide to Heritage Leadership Academy,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic",69605 Heritage Leadership Academy,358 Title IV,55005 Property - Equipment,228952 Federal - Nonpublic Inst (Christian),"440045 Title Iv, Part A - Nonpublic","$1,000",
10,19-0724-EX1,Transfer from Marie Sklodowska Curie Metropolitan High School to Citywide Student Support and Engagement,Pulling back unused funds,53101 Marie Sklodowska Curie Metropolitan High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442176 21st Century Community Learning Centers - (Cohort
15-Grant 5) Fy19",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442176 21st Century Community Learning Centers - (Cohort
15-Grant 5) Fy19","$1,000",
