Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
1,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to William B Ogden Elementary School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,24731 William B Ogden Elementary School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,000",,
2,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,TAOEP Grant - Printers and Computer Maintenance for Credit Recovery Classroom,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,211001 Attendance & Social Work,376807 Truant Alternative Optional Education Fy20,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119029 Ctu Instr. Supplies - Individual Teachers,376807 Truant Alternative Optional Education Fy20,"$1,000",,
3,19-0925-EX1,Transfer from Office of Student Health & Wellness to Al Raby High School,Mercy Hospital grant for Student Lactation rooms.,14050 Office of Student Health & Wellness,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,46471 Al Raby High School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,"$1,000",,
4,19-0925-EX1,Transfer from Office of Student Health & Wellness to North Lawndale College Prep - Christiana,Mercy Hospital grant for Student Lactation rooms.,14050 Office of Student Health & Wellness,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,66091 North Lawndale College Prep - Christiana,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,"$1,000",,
5,19-0925-EX1,Transfer from Office of Student Health & Wellness to Benito Juarez Community Academy High School,Mercy Hospital grant for Student Lactation rooms.,14050 Office of Student Health & Wellness,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,46421 Benito Juarez Community Academy High School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,"$1,000",,
6,19-0925-EX1,Transfer from Office of Student Health & Wellness to Kenwood Academy High School,Mercy Hospital grant for Student Lactation rooms.,14050 Office of Student Health & Wellness,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,46361 Kenwood Academy High School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,004108 Student Lactation Rooms Program,"$1,000",,
7,19-0925-EX1,Transfer from Diverse Learner Related Services Providers - City Wide to Diverse Learner Supports & Services,For PC Open,11675 Diverse Learner Related Services Providers - City Wide,114 Special Education Fund,54125 Services - Professional/Administrative,213011 Health Services,000000 Default Value,11610 Diverse Learner Supports & Services,114 Special Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",,
8,19-0925-EX1,Transfer from Talent Office to Whitney M Young Magnet High School,Talent office is renting space at Whitney Young for a student teacher summit.,11010 Talent Office,115 General Education Fund,57705 Services - Space Rental,264207 Teacher Sourcing & Recruitment,000000 Default Value,47101 Whitney M Young Magnet High School,115 General Education Fund,51320 Bucket Position Pointer,264207 Teacher Sourcing & Recruitment,000000 Default Value,"$1,000",,
9,19-0925-EX1,Transfer from Network 6 to Network 6,Transfer needed to cover professional membership and subscription fees for FY20,02461 Network 6,115 General Education Fund,57940 Miscellaneous Charges,221234 000000,,02461 Network 6,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,000000 Default Value,"$1,000","Professional Develop/Curriculum Develp
Default Value",
10,19-0925-EX1,Transfer from Network 6 to Network 6,"Transfer needed to cover cost of seminars, fees and subscriptions for Network 6 team for FY20",02461 Network 6,115 General Education Fund,57940 Miscellaneous Charges,221234 000000,,02461 Network 6,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,000000 Default Value,"$1,000","Professional Develop/Curriculum Develp
Default Value",
