Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0123-EX1,Transfer from Instructional Supports to Adlai E Stevenson Elementary School,Transfer for Transportation for Debate Students,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150010 Science Fair,000000 Default Value,25471 Adlai E Stevenson Elementary School,115 General Education Fund,54210 Pupil Transportation,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
2,19-0123-EX1,Transfer from Instructional Supports to Wendell Phillips Academy High School,Transportation cost for Debate Program,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150008 Debate - High School,000000 Default Value,46261 Wendell Phillips Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
3,19-0123-EX1,Transfer from Talent Office to Talent Office,"The books were purchased for the GEM cohorts to supplement the learning goals of each respective cohort group, which include
navigating systems, influencing and improving overall leadership abilities.",11010 Talent Office,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,221011 Improvement Of Instruction,494066 Title Iia - Teacher Quality,11010 Talent Office,353 Title II - Teacher Quality,53405 Commodities - Supplies,221011 Improvement Of Instruction,494066 Title Iia - Teacher Quality,"$1,000",
4,19-0123-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer funds for seminar and fees.,13727 Early College and Career - City Wide,115 General Education Fund,53405 Commodities - Supplies,119035,000389,13727 Early College and Career - City Wide,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221011 Improvement Of Instruction,000389 Cte Programs,"$1,000","Other Instruction Purposes - Miscellaneous
Cte Programs"
5,19-0123-EX1,"
Transfer from Chief Equity Office to Chief Equity Office",For supplies,10465 Chief Equity Office,115 General Education Fund,54125 Services - Professional/Administrative,233011 Equal Educ Opportunity-Admin,000000 Default Value,10465 Chief Equity Office,115 General Education Fund,53405 Commodities - Supplies,233011 Equal Educ Opportunity-Admin,000000 Default Value,"$1,000",
6,19-0123-EX1,Transfer from Instructional Supports to Chicago Vocational Career Academy High School,Transfer to cover cost of bus transportation for Debate Students,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150008 Debate - High School,000000 Default Value,53011 Chicago Vocational Career Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
7,19-0123-EX1,Transfer from Urban Prep Academy for Young Men - Bronzeville to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,66442 Urban Prep Academy for Young Men - Bronzeville,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,119031 Nclb Current Year Allocation,430201 Title 1 - School Discretionary,12670 Education General - City Wide,332 NCLB Title I Regular Fund,54320 Student Tuition - Charter Schools,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",
8,19-0123-EX1,Transfer from John Marshall Metropolitan High School to Education General - City Wide,EXPIRED GRANT SWEEP - Transfer available funding to contingency.,47041 John Marshall Metropolitan High School,367 Title I - Comprehensive School Reform,53510 Commodities - Postage,212017 Other Govt Fnded Prjts-Guidnce,424060 Sig - Marshall (Cohort 5) Fy18,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",
9,19-0123-EX1,Transfer from Early College and Career - City Wide to Lake View High School,"Transfer funds for STEM recruitment supplies, per ECCE.",13727 Early College and Career - City Wide,115 General Education Fund,53405 Commodities - Supplies,125023 Stem - Extended Student Learning,008011 Stem Programs,46211 Lake View High School,115 General Education Fund,53405 Commodities - Supplies,125023 Stem - Extended Student Learning,008011 Stem Programs,"$1,000","2
"
10,19-0123-EX1,"
Transfer from Talent Office to Office of Internal Audit and Compliance",Reconcile position transaction and balance pointer.,11010 Talent Office,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,10430 Office of Internal Audit and Compliance,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",
